

    1: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 10   2  9   3 18   4 25   5 16   6 21   8 23  11 20  12 15  13 22  14 19  17 24 "
 "   0  9   1 24   2 13   3 16   4 17   5 12   6 25   7 22   8 15  10 21  11 18  14 23  19 20 "
 "   0 11   1 16   2 25   3 22   4 15   5  8   6 19   7 24   9 12  10 17  13 14  18 21  20 23 "
 "   0 13   1 20   2 21   3 12   4  9   5 24   6 17   7 18   8 11  10 23  14 25  15 22  16 19 "
 "   0 15   1  6   2 23   3 20   4  7   5 14   8 19   9 16  10 13  11 24  12 17  18 25  21 22 "



    2: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 12   2  9   3 16   4 25   5 18   6 23   8 17  10 21  11 14  13 22  15 24  19 20 "
 "   0  9   1 20   2 17   3 10   4 21   5 12   6 19   7 22   8 15  11 24  13 14  16 25  18 23 "
 "   0 11   1 22   2 19   3  6   4 13   5 14   7 18   8 23   9 16  10 25  12 21  15 20  17 24 "
 "   0 13   1  6   2  7   3 12   4 15   5 22   8 25   9 18  10 17  11 20  14 21  16 23  19 24 "
 "   0 15   1 16   2 11   3 22   4 19   5 20   6 17   7 14   8 21   9 24  10 23  12 25  13 18 "



    3: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 12   2 19   3  6   4 13   5 18   8 25   9 22  10 15  11 20  14 21  16 23  17 24 "
 "   0  9   1 18   2 13   3 20   4 17   5 22   6 21   7 12   8 19  10 23  11 14  15 24  16 25 "
 "   0 11   1  8   2 25   3 14   4 21   5 16   6 15   7 18   9 10  12 19  13 24  17 22  20 23 "
 "   0 13   1  6   2 15   3 18   4 23   5 14   7 16   8 11   9 24  10 25  12 17  19 20  21 22 "
 "   0 15   1 22   2  9   3 12   4  7   5 24   6 25   8 23  10 21  11 18  13 14  16 19  17 20 "



    4: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 14   2 11   3 20   4 15   5  6   8 19   9 10  12 25  13 16  17 24  18 23  21 22 "
 "   0  9   1  6   2 23   3 14   4 19   5 20   7 24   8 17  10 25  11 16  12 15  13 22  18 21 "
 "   0 11   1 22   2 17   3  6   4  7   5 16   8 21   9 12  10 23  13 14  15 24  18 25  19 20 "
 "   0 13   1 10   2 21   3 12   4 17   5 22   6 15   7 18   8 11   9 20  14 25  16 23  19 24 "
 "   0 15   1 12   2 25   3  8   4 21   5 10   6 17   7 14   9 24  11 22  13 18  16 19  20 23 "



    5: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 14   2 25   3 16   4 13   5 18   6 19   8 17   9 24  10 23  11 20  12 15  21 22 "
 "   0  9   1 12   2 21   3 22   4 19   5 20   6 23   7 18   8 15  10 17  11 24  13 14  16 25 "
 "   0 11   1 22   2  7   3 18   4 21   5 14   6 13   8 23   9 10  12 25  15 20  16 19  17 24 "
 "   0 13   1 18   2 11   3 14   4 23   5 16   6 17   7 24   8 25   9 22  10 15  12 21  19 20 "
 "   0 15   1 24   2 17   3  8   4 25   5 10   6 21   7 22   9 12  11 18  13 16  14 19  20 23 "



    6: |Aut(M)| =  1,  Cycles:28(6:8:12) 
