

    1: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 24  12 17  16 25  18 23  19 20  21 22 "
 "   0  7   1 10   2  9   3 22   4 13   5 18   6 15   8 23  11 16  12 25  14 21  17 20  19 24 "
 "   0  9   1  2   3 14   4 23   5 24   6 19   7 20   8 11  10 17  12 21  13 18  15 16  22 25 "
 "   0 11   1 14   2 19   3  4   5 16   6 21   7 12   8 25   9 22  10 15  13 24  17 18  20 23 "
 "   0 13   1 18   2 11   3 20   4  9   5  6   7 16   8 17  10 23  12 19  14 25  15 22  21 24 "
 "   0 15   1 24   2 21   3 12   4 25   5 14   6 23   7  8   9 10  11 18  13 20  16 19  17 22 "



    2: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 24  12 17  16 25  18 23  19 20  21 22 "
 "   0  7   1 10   2 25   3  6   4  9   5 22   8 23  11 14  12 21  13 18  15 24  16 19  17 20 "
 "   0  9   1 20   2 23   3 18   4 19   5 12   6 15   7 24   8 11  10 21  13 16  14 25  17 22 "
 "   0 11   1 24   2 19   3 16   4 21   5  6   7 12   8 15   9 20  10 23  13 14  17 18  22 25 "
 "   0 13   1  8   2 15   3 12   4 11   5 16   6 25   7 22   9 18  10 17  14 19  20 23  21 24 "
 "   0 15   1 22   2  9   3  4   5  8   6 13   7 20  10 19  11 16  12 23  14 21  17 24  18 25 "



    3: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 24  12 17  16 25  18 23  19 20  21 22 "
 "   0  7   1 12   2 23   3 16   4  9   5 18   6 25   8 19  10 17  11 22  13 20  14 21  15 24 "
 "   0  9   1 24   2 17   3 12   4 11   5 20   6 13   7 18   8 23  10 21  14 19  15 16  22 25 "
 "   0 11   1 18   2 21   3 14   4 19   5 10   6 17   7 20   8 25   9 12  13 24  15 22  16 23 "
 "   0 13   1 14   2 11   3 22   4 25   5 16   6 23   7  8   9 18  10 19  12 15  17 20  21 24 "
 "   0 15   1 20   2 13   3  6   4 21   5 14   7 16   8 17   9 22  10 25  11 18  12 23  19 24 "



    4: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 24  12 17  16 25  18 23  19 20  21 22 "
 "   0  7   1 20   2 23   3 24   4 19   5 10   6 15   8 21   9 12  11 16  13 14  17 18  22 25 "
 "   0  9   1 10   2 13   3 16   4 25   5 18   6 23   7 14   8 15  11 22  12 21  17 20  19 24 "
 "   0 11   1 18   2 17   3  4   5 16   6 19   7  8   9 24  10 25  12 15  13 22  14 21  20 23 "
 "   0 13   1  2   3 20   4  7   5 12   6 21   8 25   9 18  10 23  11 14  15 22  16 19  17 24 "
 "   0 15   1  8   2 19   3 10   4  9   5 20   6 13   7 16  11 18  12 23  14 25  17 22  21 24 "



    5: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 24  12 17  16 25  18 23  19 20  21 22 "
 "   0  7   1 22   2 11   3 20   4  9   5 24   6 23   8 21  10 25  12 19  13 14  15 16  17 18 "
 "   0  9   1 24   2 23   3 14   4 13   5 18   6 17   7 20   8 19  10 21  11 16  12 25  15 22 "
 "   0 11   1 20   2 17   3  6   4  7   5 16   8 25   9 18  10 23  12 15  13 22  14 21  19 24 "
 "   0 13   1 18   2 19   3 12   4 17   5 20   6 21   7 24   8 15   9 10  11 14  16 23  22 25 "
 "   0 15   1 10   2 13   3 22   4 11   5 14   6 25   7 12   8 23   9 24  16 19  17 20  18 21 "



    6: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 24  12 17  16 25  18 23  19 20  21 22 "
 "   0  7   1 22   2 15   3 20   4  9   5 16   6 17   8 23  10 25  11 18  12 21  13 14  19 24 "
 "   0  9   1  2   3 16   4 13   5 18   6 21   7 12   8 17  10 19  11 20  14 23  15 24  22 25 "
 "   0 11   1 18   2 17   3 14   4 21   5 12   6 25   7  8   9 24  10 15  13 22  16 19  20 23 "
 "   0 13   1 24   2 11   3  4   5 20   6 23   7 18   8 21   9 16  10 17  12 25  14 19  15 22 "
 "   0 15   1 10   2 23   3  6   4 11   5  8   7 16   9 20  12 19  13 24  14 21  17 22  18 25 "



    7: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 24  12 17  16 25  18 23  19 20  21 22 "
 "   0  7   1 24   2 19   3 22   4 17   5 20   6 25   8 15   9 10  11 18  12 21  13 16  14 23 "
 "   0  9   1 22   2 11   3 20   4 23   5 16   6 17   7  8  10 21  12 15  13 18  14 25  19 24 "
 "   0 11   1 20   2 13   3 18   4  7   5 22   6 23   8 19   9 16  10 15  12 25  14 21  17 24 "
 "   0 13   1  8   2 17   3  4   5 24   6 19   7 14   9 12  10 23  11 16  15 20  18 21  22 25 "
 "   0 15   1 12   2 23   3 10   4 25   5  6   7 24   8 21   9 18  11 14  13 22  16 19  17 20 "

