

    1: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 16  12 23  17 22  18 25  19 20  21 24 "
 "   0  7   1  8   2 15   3 22   4 19   5 20   6 17   9 24  10 21  11 18  12 25  13 16  14 23 "
 "   0  9   1 18   2 21   3 12   4 17   5 24   6 11   7 14   8 15  10 19  13 22  16 25  20 23 "
 "   0 11   1 14   2 25   3 16   4 23   5 18   6 19   7 22   8 17   9 20  10 15  12 21  13 24 "
 "   0 13   1 16   2 19   3 20   4 11   5 14   6 23   7  8   9 18  10 25  12 17  15 24  21 22 "
 "   0 15   1 12   2 13   3 14   4 21   5 22   6 25   7 16   8 19   9 10  11 20  17 24  18 23 "



    2: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 16  12 23  17 22  18 25  19 20  21 24 "
 "   0  7   1  8   2 21   3 18   4 11   5 24   6 13   9 22  10 25  12 17  14 19  15 20  16 23 "
 "   0  9   1 16   2 15   3  4   5 22   6 21   7 12   8 19  10 23  11 24  13 20  14 25  17 18 "
 "   0 11   1  2   3 24   4 13   5 14   6 17   7 22   8 25   9 20  10 21  12 15  16 19  18 23 "
 "   0 13   1 10   2  9   3 16   4 23   5 20   6 15   7 24   8 17  11 18  12 19  14 21  22 25 "
 "   0 15   1 24   2 17   3 10   4 19   5 16   6 25   7 14   8 23   9 12  11 20  13 22  18 21 "



    3: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 16  12 23  17 22  18 25  19 20  21 24 "
 "   0  7   1  8   2 23   3 20   4 19   5 12   6 15   9 24  10 25  11 14  13 16  17 18  21 22 "
 "   0  9   1 14   2 11   3  4   5 22   6 17   7 20   8 21  10 23  12 25  13 18  15 16  19 24 "
 "   0 11   1 12   2 17   3 24   4 13   5 10   6 19   7 16   8 25   9 18  14 21  15 22  20 23 "
 "   0 13   1 18   2  9   3 22   4  7   5 20   6 21   8 15  10 19  11 24  12 17  14 23  16 25 "
 "   0 15   1 20   2 25   3  6   4 23   5 24   7  8   9 22  10 17  11 18  12 21  13 14  16 19 "



    4: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 16  12 23  17 22  18 25  19 20  21 24 "
 "   0  7   1 10   2 13   3  4   5 14   6 11   8 23   9 16  12 19  15 20  17 24  18 21  22 25 "
 "   0  9   1  2   3 16   4 19   5  8   6 15   7 24  10 25  11 14  12 21  13 22  17 18  20 23 "
 "   0 11   1 20   2 25   3  6   4 17   5 18   7 16   8 15   9 12  10 23  13 14  19 24  21 22 "
 "   0 13   1 14   2 23   3 18   4 25   5 16   6 19   7 22   8 21   9 10  11 20  12 17  15 24 "
 "   0 15   1  8   2 21   3 10   4 23   5 12   6 17   7 18   9 24  11 22  13 20  14 25  16 19 "



    5: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 16  12 23  17 22  18 25  19 20  21 24 "
 "   0  7   1 18   2 21   3  6   4 23   5 14   8 17   9 12  10 19  11 20  13 16  15 24  22 25 "
 "   0  9   1 10   2 25   3 14   4 11   5  8   6 17   7 22  12 19  13 24  15 20  16 23  18 21 "
 "   0 11   1 22   2 15   3  4   5 10   6 21   7  8   9 20  12 17  13 18  14 23  16 25  19 24 "
 "   0 13   1 24   2 17   3 18   4 21   5 22   6 11   7 20   8 23   9 10  12 25  14 19  15 16 "
 "   0 15   1  2   3 12   4 19   5 24   6 25   7 16   8 21   9 22  10 17  11 18  13 14  20 23 "

