

    1: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 22  12 23  16 25  17 20  18 21  19 24 "
 "   0  7   1 10   2 25   3 22   4 19   5 16   6 21   8 23   9 24  11 14  12 15  13 20  17 18 "
 "   0  9   1 18   2 17   3 20   4 11   5 12   6 25   7 22   8 19  10 21  13 16  14 23  15 24 "
 "   0 11   1  2   3 16   4  7   5 18   6 13   8 21   9 22  10 15  12 19  14 25  17 24  20 23 "
 "   0 13   1  8   2 23   3  4   5  6   7 14   9 12  10 25  11 18  15 16  17 22  19 20  21 24 "
 "   0 15   1 20   2 13   3  6   4 21   5 14   7 24   8 11   9 18  10 19  12 17  16 23  22 25 "



    2: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 22  12 23  16 25  17 20  18 21  19 24 "
 "   0  7   1 12   2 19   3 20   4 23   5  8   6 13   9 16  10 15  11 24  14 21  17 22  18 25 "
 "   0  9   1  2   3 16   4 13   5 22   6 11   7 24   8 15  10 25  12 21  14 19  17 18  20 23 "
 "   0 11   1 18   2 21   3  4   5  6   7 16   8 19   9 10  12 17  13 20  14 23  15 24  22 25 "
 "   0 13   1 16   2 11   3 14   4  7   5 20   6 21   8 23   9 18  10 19  12 25  15 22  17 24 "
 "   0 15   1 22   2 17   3 12   4 21   5 24   6 19   7 14   8 25   9 20  10 23  11 18  13 16 "



    3: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 22  12 23  16 25  17 20  18 21  19 24 "
 "   0  7   1 12   2 25   3 18   4 23   5  8   6 13   9 20  10 15  11 16  14 19  17 24  21 22 "
 "   0  9   1 22   2 15   3 12   4 17   5 24   6 25   7 16   8 21  10 19  11 20  13 14  18 23 "
 "   0 11   1  8   2 23   3 20   4  9   5 10   6 19   7 24  12 17  13 22  14 21  15 16  18 25 "
 "   0 13   1 20   2  9   3 22   4 19   5 16   6 23   7  8  10 25  11 14  12 15  17 18  21 24 "
 "   0 15   1 18   2 13   3  4   5 20   6 11   7 22   8 17   9 24  10 23  12 21  14 25  16 19 "



    4: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 22  12 23  16 25  17 20  18 21  19 24 "
 "   0  7   1 16   2 19   3 20   4 13   5 24   6 17   8 25   9 12  10 21  11 14  15 22  18 23 "
 "   0  9   1 24   2 21   3 16   4 17   5  6   7 22   8 11  10 25  12 15  13 18  14 19  20 23 "
 "   0 11   1  2   3 10   4 21   5 18   6 23   7 24   8 17   9 22  12 19  13 20  14 25  15 16 "
 "   0 13   1 20   2 11   3 22   4  9   5 16   6 21   7 14   8 19  10 23  12 25  15 24  17 18 "
 "   0 15   1 18   2 13   3  4   5 12   6 25   7 16   8 23   9 10  11 24  14 21  17 22  19 20 "



    5: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 22  12 23  16 25  17 20  18 21  19 24 "
 "   0  7   1 16   2 25   3  4   5  6   8 11   9 20  10 21  12 19  13 14  15 22  17 24  18 23 "
 "   0  9   1 12   2 19   3 22   4 17   5 10   6 15   7 18   8 25  11 16  13 24  14 21  20 23 "
 "   0 11   1  2   3 18   4 25   5  8   6 17   7 14   9 24  10 19  12 15  13 20  16 23  21 22 "
 "   0 13   1 20   2 11   3 14   4 19   5 24   6 23   7 16   8 21   9 12  10 15  17 18  22 25 "
 "   0 15   1 18   2 17   3  6   4 23   5 12   7  8   9 16  10 25  11 14  13 22  19 20  21 24 "



    6: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 22  12 23  16 25  17 20  18 21  19 24 "
 "   0  7   1 18   2  9   3 12   4 17   5 22   6 19   8 15  10 25  11 16  13 14  20 23  21 24 "
 "   0  9   1 20   2 19   3 10   4 13   5 16   6 15   7 18   8 23  11 24  12 17  14 25  21 22 "
 "   0 11   1 24   2 23   3  6   4 25   5 18   7 14   8 17   9 12  10 21  13 16  15 22  19 20 "
 "   0 13   1  8   2 11   3 24   4  7   5 20   6 21   9 18  10 17  12 19  14 23  15 16  22 25 "
 "   0 15   1  2   3 14   4 19   5 10   6 11   7 22   8 25   9 20  12 21  13 24  16 23  17 18 "



    7: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3  8   4 15   9 14  10 13  11 22  12 23  16 25  17 20  18 21  19 24 "
 "   0  7   1 20   2  9   3  4   5  8   6 13  10 17  11 18  12 21  14 19  15 24  16 23  22 25 "
 "   0  9   1 16   2 23   3 18   4 19   5 22   6 15   7 24   8 17  10 21  11 14  12 25  13 20 "
 "   0 11   1 14   2 17   3 24   4  9   5  6   7 12   8 21  10 15  13 22  16 19  18 25  20 23 "
 "   0 13   1  8   2 19   3 10   4 25   5 14   6 23   7 18   9 12  11 16  15 20  17 22  21 24 "
 "   0 15   1  2   3 22   4 23   5 24   6 21   7  8   9 10  11 20  12 19  13 16  14 25  17 18 "

