

    1: |Aut(M)| =  3,  Cycles:36(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  6   4  7   8 15   9 22  10 19  11 24  12 21  13 14  16 23  17 20  18 25 "
 "   0  7   1 10   2 25   3 12   4 17   5  8   6 11   9 14  13 20  15 22  16 19  18 23  21 24 "
 "   0  9   1 20   2 21   3  8   4 15   5 18   6 23   7 16  10 25  11 22  12 17  13 24  14 19 "
 "   0 11   1 18   2 23   3  4   5 22   6 13   7 20   8 17   9 10  12 15  14 21  16 25  19 24 "
 "   0 13   1  6   2 19   3 16   4 21   5 24   7 22   8 11   9 12  10 23  14 25  15 20  17 18 "
 "   0 15   1 16   2 13   3 20   4 19   5 10   6 21   7  8   9 24  11 18  12 25  14 23  17 22 "
 "   0 17   1 22   2  7   3 24   4 25   5  6   8 21   9 18  10 13  11 14  12 23  15 16  19 20 "

